Product Name,Brand,Price,Image URL,is_girly
Schick Hydro 5-Blade Sensitive Men's Disposable Razors - 3ct,Schick,$11.69,https://target.scene7.com/is/image/Target/GUEST_6c236305-a786-43ec-b3d5-e0d1c2779eec?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Billie Women's 5-Blade Razor Refill,Billie,$11.79 - $17.69,https://target.scene7.com/is/image/Target/GUEST_bb3b6c70-09b0-4ece-8418-1e6bade71d78?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Gillette ProGlide Razor for Men - Handle + 4 Blade Refills,Gillette,$14.49,https://target.scene7.com/is/image/Target/GUEST_866f6076-2a3b-42b7-af08-c651fb2575fc?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette ProGlide Men's Razor + 2 Razor Blade Refills,Gillette,$19.49,https://target.scene7.com/is/image/Target/GUEST_e980e0fc-ad1b-49b5-9eb8-1c96a926fbdf?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus Deluxe Smooth Sensitive Women's Razor Blade Refills,Venus,$37.49 - $55.99,https://target.scene7.com/is/image/Target/GUEST_fd97e14f-ac54-474d-a8aa-41f232b93b20?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Billie Women's 5-Blade Razor Refill,Billie,$15.79 - $19.69,https://target.scene7.com/is/image/Target/GUEST_bb3b6c70-09b0-4ece-8418-1e6bade71d78?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Billie Sparkle Dermaplaning Starter Kit - Reusable Handle + 3 Refill Blades,Billie,$14.69,https://target.scene7.com/is/image/Target/GUEST_78973ada-f0ce-4237-adaa-9a56e6da0730?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Trim Men's Touch Up Shaving Blades - 3ct,Trim,$3.99,https://target.scene7.com/is/image/Target/GUEST_a18d4016-aa70-4544-9ec5-9c0c8026295a?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Labs Value Pack Razor - Handle + 4 Blade Refills,Gillette,$24.99,https://target.scene7.com/is/image/Target/GUEST_b14b0974-6926-4ef1-8289-c0e7caa5cb1e?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Intuition Sensitive Care Women's Razor - 1 Razor Handle and 2 Refills,Schick,$11.79,https://target.scene7.com/is/image/Target/GUEST_c56d50b5-7fb8-44b2-99f2-18ffc1fe0380?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
BiC Flex5 Titanium Men's Disposable Razors - 2ct,BiC,$8.89,https://target.scene7.com/is/image/Target/GUEST_6ab899a6-0071-455c-b191-51de3f6b6ca3?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Labs Exfoliating Bar Razor + 2 Razor Blade Refills & Premium Magnetic Stand,Gillette,$19.99,https://target.scene7.com/is/image/Target/GUEST_33b9b0e4-31c8-4a91-aabe-177121f1f8a2?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Mach3 Value Pack Razor - Handle + 6 Blade Refills,Gillette,$21.99,https://target.scene7.com/is/image/Target/GUEST_597f179c-04ff-45e2-956f-c077a1508f3b?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Schick Intuition Sensitive Care Womens Razor Blade Refills,Schick,$18.99 - $29.99,https://target.scene7.com/is/image/Target/GUEST_f0b6cf98-773e-4389-9bc3-6a6407217d2b?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Smooth Women's Razor Blade Refills - 4ct,Venus,$16.49,https://target.scene7.com/is/image/Target/GUEST_d545777d-aada-472d-a9f0-67e13e062274?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Extra Smooth Value Pack Razor - Handle + 4 Blade Refills,Venus,$23.99,https://target.scene7.com/is/image/Target/GUEST_8e4715c8-baa9-4dc4-8f91-8a14ba994b75?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Harry's 5-Blade Men's Razor Blade Refills - 8 Cartridges - Compatible with All Harry's Razors and Flamingo Razors,Harry's,$19.99,https://target.scene7.com/is/image/Target/GUEST_af63b643-52aa-467a-98e0-789295f3eadc?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Fusion5 Razor for Men - Handle + 1 Razor Blade Refill,Gillette,$6.99,https://target.scene7.com/is/image/Target/GUEST_bdb4a19e-c45c-46ad-aba7-5d7b3b0b12de?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus for Pubic Hair & Skin Women's Razor Blade Refills - 4ct,Venus,$17.79,https://target.scene7.com/is/image/Target/GUEST_51fbabd5-f4a6-4d45-8ae8-f4d1a81c9be6?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Flamingo Women's Razor Blade Refills - 5-Blade Refill Cartridges - 4ct,Flamingo,$9.99,https://target.scene7.com/is/image/Target/GUEST_ad243c83-b757-4725-930f-701dc6b19fc5?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Flamingo Dermaplane Razor Refill Cartridges - Facial Razor Refills - 6ct,Flamingo,$12.19,https://target.scene7.com/is/image/Target/GUEST_1e5143b9-2f2b-4ef5-93ca-804723fae643?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Venus For Pubic Hair and Skin Value Pack - Razor Handle + 4 Blade Refills,Venus,$19.99,https://target.scene7.com/is/image/Target/GUEST_8a2e5c11-e4eb-40ab-81da-1b292e37230b?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Schick Hydro Silk 5 Sensitive Women Razor Blade Refills,Schick,$18.99 - $24.49,https://target.scene7.com/is/image/Target/GUEST_d8cdc53a-f5a9-44b7-930c-5db1709b56fe?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Extra Smooth Women's Razor Blade Refills,Venus,$24.49 - $31.99,https://target.scene7.com/is/image/Target/GUEST_97cd49a1-62e7-4536-85d5-3451f5b3202b?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Venus Comfortglide plus Olay Coconut Women's Razor Blade Refills,Venus,$25.49 - $33.49,https://target.scene7.com/is/image/Target/GUEST_879bbd2d-0323-4cc4-a50d-2372fcc0f978?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Rifle Paper Co. + Venus Deluxe Smooth Sensitive Razor Blade Refills - 4ct,Venus,$24.49,https://target.scene7.com/is/image/Target/GUEST_4c5ce18a-3d7f-4281-ada8-8c61367b3f7a?qlt=65&fmt=pjpeg&hei=350&wid=350,yes
Harry's 5-Blade Men's Razor Blade Refills - 12 Cartridges - Compatible with All Harry's Razors and Flamingo Razors,Harry's,$28.49,https://target.scene7.com/is/image/Target/GUEST_0e8bde5b-9b92-4b86-bce7-c78fcff50845?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Fusion5 Value Pack Razor - Handle + 5 Blade Refills,Gillette,$25.99,https://target.scene7.com/is/image/Target/GUEST_51fc8d74-e885-4282-a2e6-254ff4856076?qlt=65&fmt=pjpeg&hei=350&wid=350,no
Gillette Labs Value Pack Razor - Handle + 4 Blade Refills,Gillette,$34.99,https://target.scene7.com/is/image/Target/GUEST_b14b0974-6926-4ef1-8289-c0e7caa5cb1e?qlt=65&fmt=pjpeg&hei=350&wid=350,no
